Provincia;Comune;DataEN;Parametro;UM;Risultato;LAT_WGS84;LON_WGS84
TS;San Dorligo della Valle - Dolina;06.01.2006 00:00;Temperatura acqua;°C;10;45.61509;13.88149
TS;San Dorligo della Valle - Dolina;06.01.2006 00:00;Conducibilità elettrica a 20°C;µS cm-1 a 20°C;430;45.61509;13.88149
TS;San Dorligo della Valle - Dolina;06.01.2006 00:00;pH;pH;8.3;45.61509;13.88149
UD;Fiumicello;02.03.2006 00:00;Temperatura acqua;°C;7;45.80293;13.43118
UD;Fiumicello;02.03.2006 00:00;Conducibilità elettrica a 20°C;µS cm-1 a 20°C;318;45.80293;13.43118
UD;Fiumicello;07.03.2006 00:00;Conducibilità elettrica a 20°C;µS cm-1 a 20°C;250;45.80293;13.43118
UD;Fiumicello;07.03.2006 00:00;Temperatura acqua;°C;21;45.80293;13.43118
TS;San Dorligo della Valle - Dolina;07.04.2006 00:00;Conducibilità elettrica a 20°C;µS cm-1 a 20°C;540;45.60726;13.82014
TS;Duino-Aurisina;07.04.2006 00:00;pH;pH;7.8;45.78741;13.59086
TS;San Dorligo della Valle - Dolina;07.04.2006 00:00;pH;pH;8.1;45.61085;13.8568
TS;Duino-Aurisina;07.04.2006 00:00;Conducibilità elettrica a 20°C;µS cm-1 a 20°C;395;45.78741;13.59086
TS;San Dorligo della Valle - Dolina;07.04.2006 00:00;pH;pH;8.5;45.60726;13.82014
TS;Duino-Aurisina;07.04.2006 00:00;Temperatura acqua;°C;14;45.78741;13.59086
TS;San Dorligo della Valle - Dolina;07.04.2006 00:00;Temperatura acqua;°C;21;45.60726;13.82014
TS;San Dorligo della Valle - Dolina;07.04.2006 00:00;Temperatura acqua;°C;14;45.61085;13.8568
TS;San Dorligo della Valle - Dolina;07.04.2006 00:00;Conducibilità elettrica a 20°C;µS cm-1 a 20°C;455;45.61085;13.8568
UD;Fiumicello;12.04.2006 00:00;Conducibilità elettrica a 20°C;µS cm-1 a 20°C;275;45.80293;13.43118
UD;Fiumicello;12.04.2006 00:00;Temperatura acqua;°C;11;45.80293;13.43118
UD;Carlino;04.05.2006 00:00;Temperatura acqua;°C;11.6;45.80499;13.19179
UD;Carlino;04.05.2006 00:00;Conducibilità elettrica a 20°C;µS cm-1 a 20°C;560;45.80499;13.19179
UD;Carlino;04.05.2006 00:00;pH;pH;7.9;45.80499;13.19179
UD;Carlino;07.05.2006 00:00;pH;pH;7.8;45.80499;13.19179
UD;Carlino;07.05.2006 00:00;Temperatura acqua;°C;22;45.80499;13.19179
UD;Carlino;07.05.2006 00:00;Conducibilità elettrica a 20°C;µS cm-1 a 20°C;625;45.80499;13.19179
UD;Fiumicello;09.05.2006 00:00;Temperatura acqua;°C;18;45.80293;13.43118
UD;Fiumicello;09.05.2006 00:00;Conducibilità elettrica a 20°C;µS cm-1 a 20°C;304;45.80293;13.43118
TS;San Dorligo della Valle - Dolina;12.05.2006 00:00;pH;pH;7.9;45.61085;13.8568
TS;Duino-Aurisina;12.05.2006 00:00;Conducibilità elettrica a 20°C;µS cm-1 a 20°C;390;45.78741;13.59086
TS;San Dorligo della Valle - Dolina;12.05.2006 00:00;Conducibilità elettrica a 20°C;µS cm-1 a 20°C;555;45.60726;13.82014
TS;Duino-Aurisina;12.05.2006 00:00;Temperatura acqua;°C;12;45.78741;13.59086
TS;San Dorligo della Valle - Dolina;12.05.2006 00:00;Temperatura acqua;°C;11;45.60726;13.82014
TS;San Dorligo della Valle - Dolina;12.05.2006 00:00;Conducibilità elettrica a 20°C;µS cm-1 a 20°C;450;45.61085;13.8568
TS;San Dorligo della Valle - Dolina;12.05.2006 00:00;pH;pH;8.1;45.60726;13.82014
TS;San Dorligo della Valle - Dolina;12.05.2006 00:00;Temperatura acqua;°C;12;45.61085;13.8568
TS;Duino-Aurisina;12.05.2006 00:00;pH;pH;7.5;45.78741;13.59086
UD;Fiumicello;04.06.2006 00:00;Conducibilità elettrica a 20°C;µS cm-1 a 20°C;237;45.80293;13.43118
UD;Fiumicello;04.06.2006 00:00;Temperatura acqua;°C;9;45.80293;13.43118
UD;Carlino;06.06.2006 00:00;Conducibilità elettrica a 20°C;µS cm-1 a 20°C;517;45.80499;13.19179
UD;Carlino;06.06.2006 00:00;Temperatura acqua;°C;15.8;45.80499;13.19179
UD;Carlino;06.06.2006 00:00;pH;pH;7.9;45.80499;13.19179
TS;San Dorligo della Valle - Dolina;09.06.2006 00:00;Temperatura acqua;°C;16;45.61085;13.8568
TS;San Dorligo della Valle - Dolina;09.06.2006 00:00;Conducibilità elettrica a 20°C;µS cm-1 a 20°C;460;45.61085;13.8568
