Punto di monitoraggio;Y_GB;X_GB;Data misura;CONDUCIBILITA;PH;SOLIDI SOSPESI;TEMPERATURA
AGAG01-T. ARGENTINA;4869755;1404256;07/03/2022;310;8.2;0;5.1
AGAG01-T. ARGENTINA;4869755;1404256;04/05/2022;295;8.2;5;15.6
AGAG01-T. ARGENTINA;4869755;1404256;27/07/2022;297;8.2;2;24.5
AGAG01-T. ARGENTINA;4869755;1404256;20/09/2022;420;8.4;0;19.1
AGAG01M-T. ARGENTINA;4870866;1402474;08/05/2019;272;8.5;0;9.3
AGAG01M-T. ARGENTINA;4870866;1402474;18/07/2019;256;8.3;5;16.4
AGAG01M-T. ARGENTINA;4870866;1402474;18/09/2019;269;8.7;0;16
AGAG01M-T. ARGENTINA;4870866;1402474;19/11/2019;344;8.4;9;12.6
AGAG01M-T. ARGENTINA;4870866;1402474;07/03/2022;300;8.1;0;9.2
AGAG01M-T. ARGENTINA;4870866;1402474;09/05/2022;300;8.2;0;12.7
AGAG01M-T. ARGENTINA;4870866;1402474;04/08/2022;290;8.2;0;21.5
AGAG01M-T. ARGENTINA;4870866;1402474;20/09/2022;343;8.3;0;16.8
AGAG02-T. ARGENTINA;4862015;1407166;08/05/2019;343;8.5;0;11.1
AGAG02-T. ARGENTINA;4862015;1407166;18/07/2019;259;8.3;24;24.2
AGAG02-T. ARGENTINA;4862015;1407166;17/09/2019;245;8.7;0;22
AGAG02-T. ARGENTINA;4862015;1407166;13/11/2019;336;8.5;6;8.2
AGAG02-T. ARGENTINA;4862015;1407166;07/03/2022;320;8.2;0;4.6
AGAG02-T. ARGENTINA;4862015;1407166;04/05/2022;305;8.2;1;11.5
AGAG02-T. ARGENTINA;4862015;1407166;27/07/2022;268;8;0;26.4
AGAG02-T. ARGENTINA;4862015;1407166;20/09/2022;300;8.3;0;18.1
AGAG03M-T. ARGENTINA;4858835;1407846;08/03/2022;300;8.2;10;13.3
AGAG03M-T. ARGENTINA;4858835;1407846;13/04/2022;300;8.2;1;16.8
AGAG03M-T. ARGENTINA;4858835;1407846;29/06/2022;290;8.3;14;24.8
AGAG03M-T. ARGENTINA;4858835;1407846;08/09/2022;294;8.1;0;20.5
AGAG04-T. ARGENTINA;4854664;1408248;07/02/2018;337;8.2;8;8.6
AGAG04-T. ARGENTINA;4854664;1408248;09/04/2018;300;8.5;13;11.5
AGAG04-T. ARGENTINA;4854664;1408248;09/07/2018;300;8.3;0;20
AGAG04-T. ARGENTINA;4854664;1408248;27/08/2018;4700;7.8;65;19.1
AGAG04-T. ARGENTINA;4854664;1408248;28/11/2018;300;8.5;4;8.8
AGAG04-T. ARGENTINA;4854664;1408248;04/02/2019;420;8.4;0;7
AGAG04-T. ARGENTINA;4854664;1408248;26/03/2019;288;8.1;2;12.1
AGAG04-T. ARGENTINA;4854664;1408248;06/05/2019;263;8.3;3;11
AGAG04-T. ARGENTINA;4854664;1408248;01/07/2019;5590;7.9;23;26.8
AGAG04-T. ARGENTINA;4854664;1408248;29/10/2019;349;8.3;0;18.7
AGAG04-T. ARGENTINA;4854664;1408248;02/12/2019;236;8.4;56;10.8
AGAG04-T. ARGENTINA;4854664;1408248;17/02/2020;335;8.3;0;10.5
AGAG04-T. ARGENTINA;4854664;1408248;26/05/2020;299;8.5;0;21
AGAG04-T. ARGENTINA;4854664;1408248;24/06/2020;300;8.3;3;18.1
AGAG04-T. ARGENTINA;4854664;1408248;08/07/2020;301;8.6;1;20.5
AGAG04-T. ARGENTINA;4854664;1408248;02/11/2020;490;8.6;0;16.3
AGAG04-T. ARGENTINA;4854664;1408248;16/11/2020;352;7.9;;15.8
AGAG04-T. ARGENTINA;4854664;1408248;25/01/2021;365;8;0;7.4
AGAG04-T. ARGENTINA;4854664;1408248;16/03/2021;382;7.9;0;10.8
AGAG04-T. ARGENTINA;4854664;1408248;21/06/2021;360;8.2;24;30.3
AGAG04-T. ARGENTINA;4854664;1408248;07/07/2021;900;7.8;4;26.8
AGAG04-T. ARGENTINA;4854664;1408248;26/10/2021;390;8.3;0;13.5
AGAG04-T. ARGENTINA;4854664;1408248;14/12/2021;355;8.2;0;9.3
AGAG04-T. ARGENTINA;4854664;1408248;15/02/2022;248;8.3;9;12.4
AGAG04-T. ARGENTINA;4854664;1408248;08/03/2022;310;8.2;1;10.1
AGAG04-T. ARGENTINA;4854664;1408248;13/04/2022;338;8.3;1;13.5
AGAG04-T. ARGENTINA;4854664;1408248;09/05/2022;320;8.3;5;24.3
AGAG04-T. ARGENTINA;4854664;1408248;29/06/2022;350;8.3;26;22.6
AGAG04-T. ARGENTINA;4854664;1408248;13/12/2022;328;8.3;1;12.6
AMAM01-T. ARMEA;4853364;1405868;03/06/2020;444;8.4;3;17.5
AMAM01-T. ARMEA;4853364;1405868;13/07/2020;385;8.5;0;28
AMAM01-T. ARMEA;4853364;1405868;08/09/2020;425;8.4;2;18.4
AMAM01-T. ARMEA;4853364;1405868;13/10/2020;407;8.6;10;12.7
AMAM02-T. ARMEA;4852650;1406550;24/02/2020;436;8.4;17;11.5
AMAM02-T. ARMEA;4852650;1406550;03/06/2020;411;8.6;9;22
AMAM02-T. ARMEA;4852650;1406550;13/07/2020;412;8.4;5;21.7
AMAM02-T. ARMEA;4852650;1406550;08/09/2020;454;8.5;1;19.2
AMAM02-T. ARMEA;4852650;1406550;13/10/2020;442;8.3;3;21
AMAM02-T. ARMEA;4852650;1406550;30/11/2020;464;8.3;4;11.9
AMAM02-T. ARMEA;4852650;1406550;25/01/2021;347;7.6;;11.5
AMAM02-T. ARMEA;4852650;1406550;01/03/2021;473;8.1;0;10.8
AMAM02-T. ARMEA;4852650;1406550;30/06/2021;490;8.2;1;18.5
AMAM02-T. ARMEA;4852650;1406550;18/08/2021;430;8.2;0;23.6
AMAM02-T. ARMEA;4852650;1406550;15/09/2021;495;8.1;0;19.5
AMAM02-T. ARMEA;4852650;1406550;27/12/2021;505;8.1;3;11.1
AMAM02-T. ARMEA;4852650;1406550;16/02/2022;440;8.2;0;13.6
AMAM02-T. ARMEA;4852650;1406550;16/03/2022;510;8.1;37;12.1
AMAM02-T. ARMEA;4852650;1406550;09/05/2022;540;8.3;4;24.8
AMAM02-T. ARMEA;4852650;1406550;28/09/2022;750;8.4;0;19.1
AMAM02-T. ARMEA;4852650;1406550;14/11/2022;600;8.3;0;17.3
AMAM02-T. ARMEA;4852650;1406550;13/12/2022;585;8.3;1;10.5
ARAR02-T. ARRESTRA;4914566;1470416;26/03/2018;136;7.7;0.9;9.4
ARAR02-T. ARRESTRA;4914566;1470416;16/05/2018;137;7.9;2.3;14.5
ARAR02-T. ARRESTRA;4914566;1470416;31/05/2018;187;8.1;1.9;19.1
ARAR02-T. ARRESTRA;4914566;1470416;04/07/2018;163;7.6;0;20.5
ARAR02-T. ARRESTRA;4914566;1470416;17/09/2018;213;7.3;1.1;23.5
AVAV02-T. AVETO;4931031;1531805;18/06/2020;190;8.4;2.6;12.7
AVAV02-T. AVETO;4931031;1531805;22/07/2020;228;8.4;0.4;23.2
AVAV02-T. AVETO;4931031;1531805;27/10/2020;152;7.8;2.1;9
AVAV02-T. AVETO;4931031;1531805;17/11/2020;186;8.2;1;7.9
AVAV03-T. AVETO;4933105;1532581;18/06/2020;213;8.5;3.7;13
AVAV03-T. AVETO;4933105;1532581;22/07/2020;249;8.3;0.7;21.8
AVAV03-T. AVETO;4933105;1532581;27/10/2020;182;8;1.9;9.5
AVAV03-T. AVETO;4933105;1532581;17/11/2020;196;8.2;1.1;8
BABA01-T. BOATE;4910982;1517476;25/01/2022;506;8.6;0.8;11.5
BABA01-T. BOATE;4910982;1517476;24/03/2022;440;8.5;;16.7
BABA01-T. BOATE;4910982;1517476;04/05/2022;467;8.3;1;18.8
BABA01-T. BOATE;4910982;1517476;23/11/2022;470;8.1;2;11.7
BABA01-T. BOATE;4910982;1517476;22/12/2022;395;8.2;2;13.4
BIBI03-T. BISAGNO;4921731;1501815;26/02/2018;328;8.4;4.2;5
BIBI03-T. BISAGNO;4921731;1501815;28/05/2018;379;8.6;6.3;22.5
BIBI03-T. BISAGNO;4921731;1501815;04/07/2018;254;7.6;7;19.3
BIBI03-T. BISAGNO;4921731;1501815;11/09/2018;330;9.1;2;23.3
BIBI03-T. BISAGNO;4921731;1501815;14/01/2021;333;8.2;3.6;7.1
BIBI03-T. BISAGNO;4921731;1501815;26/04/2021;346;8.5;1;11.3
BIBI03-T. BISAGNO;4921731;1501815;13/07/2021;320;8.4;1;22.9
BIBI03-T. BISAGNO;4921731;1501815;21/09/2021;357;8.2;25;20.6
BIBI03M-T. BISAGNO;4921921;1502645;21/02/2018;323;8.8;0.9;6.9
BIBI03M-T. BISAGNO;4921921;1502645;28/05/2018;341;8.6;5.7;17.3
BIBI03M-T. BISAGNO;4921921;1502645;04/07/2018;268;8.5;0;20
BIBI03M-T. BISAGNO;4921921;1502645;11/09/2018;338;9.1;1.9;20
BIBI03M-T. BISAGNO;4921921;1502645;14/01/2021;345;8.2;0;7.1
BIBI03M-T. BISAGNO;4921921;1502645;26/04/2021;354;8.5;2;12
BIBI03M-T. BISAGNO;4921921;1502645;14/07/2021;337;8.3;1;19
BIBI03M-T. BISAGNO;4921921;1502645;21/09/2021;364;8.4;1.7;19.1
BIBI04-T. BISAGNO;4920021;1496915;27/05/2020;380;7.9;0.9;19.6
BIBI04-T. BISAGNO;4920021;1496915;15/10/2020;377;8.3;4.2;13.1
BIBI04-T. BISAGNO;4920021;1496915;26/11/2020;400;8.2;3.2;11.6
BIBI04-T. BISAGNO;4920021;1496915;15/12/2020;390;8.2;1.3;10.4
BIBI04M-T. BISAGNO;4922106;1499376;27/05/2020;342;8.6;0.8;20.2
BIBI04M-T. BISAGNO;4922106;1499376;20/07/2020;367;8.1;0.9;22.5
BIBI04M-T. BISAGNO;4922106;1499376;03/09/2020;361;8.3;3;22.6
BIBI04M-T. BISAGNO;4922106;1499376;26/11/2020;390;8.2;1.5;11.3
BIBI05-T. BISAGNO;4917275;1496206;21/02/2018;348;8.3;3.1;7.3
BIBI05-T. BISAGNO;4917275;1496206;23/04/2018;350;8.6;0;14.7
BIBI05-T. BISAGNO;4917275;1496206;05/12/2018;324;8.6;1.9;11.1
BIBI05-T. BISAGNO;4917275;1496206;20/02/2019;253;8.5;5.6;7.9
BIBI05-T. BISAGNO;4917275;1496206;30/04/2019;315;8.5;1;11.4
BIBI05-T. BISAGNO;4917275;1496206;22/05/2019;338;8.4;8.3;13.6
BIBI05-T. BISAGNO;4917275;1496206;14/11/2019;422;8.3;2.1;11.1
BIBI05-T. BISAGNO;4917275;1496206;29/01/2020;374;8.3;1.2;8.4
BIBI05-T. BISAGNO;4917275;1496206;27/05/2020;388;8.8;0.9;17.1
BIBI05-T. BISAGNO;4917275;1496206;15/10/2020;399;8.2;7.8;13.8
BIBI05-T. BISAGNO;4917275;1496206;26/11/2020;420;8.4;1.7;8.7
BIBI05-T. BISAGNO;4917275;1496206;15/12/2020;398;8.2;1;10
BIBI05-T. BISAGNO;4917275;1496206;14/01/2021;369;8.1;1.4;8
BIBI05-T. BISAGNO;4917275;1496206;26/04/2021;374;8.5;2;12.9
BIBI05-T. BISAGNO;4917275;1496206;10/06/2021;366;8.6;;18.6
BIBI05-T. BISAGNO;4917275;1496206;21/10/2021;447;7.9;5;17.1
BIBI05-T. BISAGNO;4917275;1496206;18/11/2021;423;8.1;;12.1
BIBI05-T. BISAGNO;4917275;1496206;13/12/2021;427;8.5;;7.3
BIBI05-T. BISAGNO;4917275;1496206;14/02/2022;425;8.1;1.2;7.9
