Data,Codice campione,Codice sito di monitoraggio,Nome sito di monitoraggio,Codice corpo idrico,Nome corpo idrico,Coordinate x [ED-50],Coordinate y [ED-50],LIMeco,Classe LIMeco,pH,Solidi sospesi totali ,Conducibilità,Durezza ,Ammoniaca non ionizzata ,Ammoniaca totale ,Azoto ammoniacale ,Azoto nitrico ,Fosfati,Fosforo totale ,E. coli ,Ossigeno disciolto  ,Ossigeno disciolto a saturazione ,Tipo di protocollo analitico
,,,,,,,,,,[-Log [H+]],[mg/L],[µS/cm],[mg/L CaCO3], [mg/L NH3],[mg/L NH4],[mg/L N-NH4],[mg/L N-NO3],[µg/L P-PO4],[µg/L],[u.f.c./100 mL],[mg/L],[%],
17/2/2014,C201400765,ARL010,Arly,0261va,Torrent d'Arly,386137,5065459,"1,00",Elevato,"8,23","1,2","146,6",87,,,0.01,"0,45",3.3,"4,5",1,"12,09","96,1",PARAMETRI DI BASE
14/5/2014,C201401916,ARL010,Arly,0261va,Torrent d'Arly,386137,5065459,"1,00",Elevato,"8,06",22,"115,4",61,,,0.02,"0,4",3.3,"10,9",1,"10,9",95,PARAMETRI DI BASE
11/9/2014,C201404096,ARL010,Arly,0261va,Torrent d'Arly,386137,5065459,"1,00",Elevato,"8,13",1.0,"108,6",64,,,0.02,"0,39",3.3,3.3,1,"9,73",96,PARAMETRI DI BASE
4/12/2014,C201405878,ARL010,Arly,0261va,Torrent d'Arly,386137,5065459,"1,00",Elevato,"7,95",1,"115,6",68,,,0.02,"0,39",3.3,3.3,1,"11,05","97,6",PARAMETRI DI BASE
23/3/2023,C202301346,ARP010,Fond Damon,0551va,Torrent d'Arpy,344575,5066644,"0,88",Elevato,"7,79",1.0,"90,5","45,9",,,0.08,"0,21",3.3,"4,7",1,"10,97","95,5",PARAMETRI DI BASE
27/6/2023,C202302920,ARP010,Fond Damon,0551va,Torrent d'Arpy,344575,5066644,"0,88",Elevato,"7,69",1.0,"54,7",26,,,0.08,"0,15",3.3,"6,5",1,"8,96","93,5",PARAMETRI DI BASE
5/9/2023,C202303945,ARP010,Fond Damon,0551va,Torrent d'Arpy,344575,5066644,"0,88",Elevato,"7,76",1.0,"75,3","37,6",,,0.08,"0,12","3,5","7,4",2,"9,08",100,PARAMETRI DI BASE
20/11/2023,C202305374,ARP010,Fond Damon,0551va,Torrent d'Arpy,344575,5066644,"0,88",Elevato,"7,81",1.0,"60,3","33,4",,,0.08,"0,18",3.3,3.3,1,"10,95","99,4",PARAMETRI DI BASE
20/1/2015,C201500327,ARP020,Foce,0552va,Torrent d'Arpy,347269,5068973,"1,00",Elevato,"8,05",1.0,"210,7",108,0.02,0.01,0.02,"0,25",3.3,"7,7",110,"12,34","98,8",PARAMETRI DI BASE+SALMONICOLO
14/4/2015,C201502075,ARP020,Foce,0552va,Torrent d'Arpy,347269,5068973,"0,88",Elevato,"8,19","2,5","240,1","117,58",0.02,0.01,0.02,"0,13",3.3,"67,7",9,"10,91",100,PARAMETRI DI BASE+SALMONICOLO
9/7/2015,C201503947,ARP020,Foce,0552va,Torrent d'Arpy,347269,5068973,"1,00",Elevato,"8,06","1,2","95,1","46,83",0.02,0.01,0.02,0.13,3.3,3.3,100,"9,93",100,PARAMETRI DI BASE+SALMONICOLO
1/10/2015,C201505453,ARP020,Foce,0552va,Torrent d'Arpy,347269,5068973,"1,00",Elevato,"8,12","2,4","143,9","77,33",0.02,0.01,0.02,"0,17",3.3,"7,8",13,"10,34","93,5",PARAMETRI DI BASE+SALMONICOLO
1/3/2016,C201600905,ARP020,Foce,0552va,Torrent d'Arpy,347269,5068973,,,"8,16",1.0,,"129,9",0.02,0.01,,,,"16,7",,"12,29",,SALMONICOLO
7/6/2016,C201602600,ARP020,Foce,0552va,Torrent d'Arpy,347269,5068973,,,"7,86","1,1",,"48,52",0.1,0.1,,,,"13,4",,"10,18",,SALMONICOLO
6/9/2016,C201604157,ARP020,Foce,0552va,Torrent d'Arpy,347269,5068973,,,"8,11",1.0,,n.d.,n.d.,n.d.,,,,45,,"9,97",,SALMONICOLO
7/12/2016,C201605698,ARP020,Foce,0552va,Torrent d'Arpy,347269,5068973,,,"7,94",1.0,,"98,6",0.1,0.1,,,,5,,"12,98",,SALMONICOLO
15/3/2017,C201701225,ARP020,Foce,0552va,Torrent d'Arpy,347269,5068973,"0,88",Elevato,"8,19","1,5","238,4","113,3",0.1,0.1,0.08,"0,15",3.3,"17,7",500,"11,33","96,3",PARAMETRI DI BASE+SALMONICOLO
20/6/2017,C201702991,ARP020,Foce,0552va,Torrent d'Arpy,347269,5068973,"0,88",Elevato,"7,79",2,"64,8","32,65",0.1,0.1,0.08,"0,14",3.3,5,42,"9,47","96,6",PARAMETRI DI BASE+SALMONICOLO
5/9/2017,C201704065,ARP020,Foce,0552va,Torrent d'Arpy,347269,5068973,"0,88",Elevato,"8,01","1,1","158,3","78,8",0.1,0.1,0.08,"0,14",3.3,3.3,540,"9,42","97,9",PARAMETRI DI BASE+SALMONICOLO
13/3/2018,C201801521,ARP020,Foce,0552va,Torrent d'Arpy,347269,5068973,"0,88",Elevato,"8,31",1.0,"244,7","124,2",0.1,0.1,0.08,"0,18",3.3,3.3,80,"11,98",100,PARAMETRI DI BASE+SALMONICOLO
25/6/2018,C201803543,ARP020,Foce,0552va,Torrent d'Arpy,347269,5068973,"0,88",Elevato,"7,93","3,1","75,9","33,13",0.1,0.1,0.08,"0,09",3.3,"12,7",1000,"9,69","96,4",PARAMETRI DI BASE+SALMONICOLO
13/9/2018,C201804901,ARP020,Foce,0552va,Torrent d'Arpy,347269,5068973,"0,88",Elevato,"7,96",1.0,"162,5","84,6",0.1,0.1,0.08,"0,1",3.3,"3,5",16,"8,87","92,5",PARAMETRI DI BASE+SALMONICOLO
5/12/2018,C201806455,ARP020,Foce,0552va,Torrent d'Arpy,347269,5068973,"0,88",Elevato,"7,53","1,4","156,9","78,9",0.1,0.1,0.08,"0,19",3.3,"5,6",71,"12,42",100,PARAMETRI DI BASE+SALMONICOLO
16/1/2019,C201900232,ARP020,Foce,0552va,Torrent d'Arpy,347269,5068973,"0,88",Elevato,"7,97",1.0,"207,1",109,0.01,0.1,0.08,"0,22",3.3,"3,5",360,"12,62","98,6",PARAMETRI DI BASE+SALMONICOLO
18/4/2019,C201902008,ARP020,Foce,0552va,Torrent d'Arpy,347269,5068973,"0,88",Elevato,"8,12","1,4","225,7","99,4",0.01,0.1,0.08,"0,12",3.3,"3,9",23,"11,1","98,8",PARAMETRI DI BASE+SALMONICOLO
22/7/2019,C201903762,ARP020,Foce,0552va,Torrent d'Arpy,347269,5068973,"0,75",Elevato,"8,03","2,8","90,3","46,41",0.01,0.1,0.08,"0,1",3.3,"8,9",290,"8,55","83,2",PARAMETRI DI BASE+SALMONICOLO
22/10/2019,C201905583,ARP020,Foce,0552va,Torrent d'Arpy,347269,5068973,"0,88",Elevato,"7,88","3,8","126,1","63,7",0.01,0.1,0.08,"0,28",3.3,"12,1",38,"10,24","98,5",PARAMETRI DI BASE+SALMONICOLO
13/1/2020,C202000209,ARP020,Foce,0552va,Torrent d'Arpy,347269,5068973,"0,88",Elevato,"7,94",1.0,"208,5","104,4",0.01,0.1,0.08,"0,24",3.3,"6,2",59,"12,77","98,2",PARAMETRI DI BASE+SALMONICOLO
16/7/2020,C202003375,ARP020,Foce,0552va,Torrent d'Arpy,347269,5068973,"0,88",Elevato,"7,69","1,4","100,4",51,0.1,0.1,0.1,0.6,4,"11,8",59,"9,34","95,2",PARAMETRI DI BASE+SALMONICOLO
16/11/2020,C202005604,ARP020,Foce,0552va,Torrent d'Arpy,347269,5068973,"0,88",Elevato,"8,39","1,9","347,7",87,0.1,0.1,0.1,0.6,3.3,"8,6",22,"11,42","99,5",PARAMETRI DI BASE+SALMONICOLO
19/1/2021,C202100218,ARP020,Foce,0552va,Torrent d'Arpy,347269,5068973,,,"7,97","2,2",,109,0.1,0.1,,,,6,,"13,11",,SALMONICOLO
