Provincia,Comune,DataEN,Parametro,Risultato,LAT_WGS84,LON_WGS84,Matrice
UD,Arta Terme,03/30/2010 12:00:00 AM,Temperatura acqua,8.4,46.45995,13.03018,RW-Corsi dacqua
UD,Arta Terme,11/29/2018 12:00:00 AM,pH,8.1,46.45995,13.03018,RW-Corsi dacqua
PN,Sesto al Reghena,05/27/2019 12:00:00 AM,Fosfati,0.05,45.85509,12.80318,RW-Corsi dacqua
TS,Duino-Aurisina,05/04/2010 12:00:00 AM,Conducibilità elettrica a 20°C,385,45.78741,13.59086,RW-Corsi dacqua
UD,Fiumicello,03/23/2011 12:00:00 AM,Conducibilità elettrica a 20°C,412,45.77284,13.40296,RW-Corsi dacqua
PN,Casarsa della Delizia,06/16/2017 12:00:00 AM,pH,8.2,45.94372,12.85556,RW-Corsi dacqua
UD,Cassacco,10/08/2014 12:00:00 AM,Conducibilità elettrica a 20°C,542,46.16824,13.17233,RW-Corsi dacqua
TS,San Dorligo della Valle - Dolina,01/02/2012 12:00:00 AM,Conducibilità elettrica a 20°C,460,45.60726,13.82014,RW-Corsi dacqua
PN,Fontanafredda,05/31/2010 12:00:00 AM,Conducibilità elettrica a 20°C,456,45.95761,12.55083,RW-Corsi dacqua
UD,Bertiolo,08/27/2019 12:00:00 AM,pH,7.6,45.93108,13.0759,RW-Corsi dacqua
PN,Casarsa della Delizia,02/14/2013 12:00:00 AM,Conducibilità elettrica a 20°C,400,45.94685,12.82307,RW-Corsi dacqua
UD,Ragogna,05/14/2019 12:00:00 AM,Fosfati,0.06,46.17663,13.00322,LW-Laghi e invasi
UD,Pocenia,11/18/2013 12:00:00 AM,Fosfati,0.05,45.84737,13.09381,RW-Corsi dacqua
UD,Torreano,06/03/2014 12:00:00 AM,Temperatura acqua,16.6,46.12507,13.42934,RW-Corsi dacqua
UD,Bertiolo,03/12/2012 12:00:00 AM,pH,8.2,45.91739,13.03543,RW-Corsi dacqua
UD,Paluzza,09/19/2007 12:00:00 AM,Fosfati,0.061,46.5855,12.9958,RW-Corsi dacqua
PN,Sacile,11/12/2013 12:00:00 AM,Fosfati,0.065,45.94056,12.50017,RW-Corsi dacqua
UD,Latisana,10/18/2007 12:00:00 AM,Conducibilità elettrica a 20°C,440,45.77247,12.99656,RW-Corsi dacqua
PN,Morsano al Tagliamento,11/30/2010 12:00:00 AM,Temperatura acqua,10.9,45.87881,12.96208,RW-Corsi dacqua
PN,Barcis,11/14/2016 12:00:00 AM,Conducibilità elettrica a 20°C,199,46.18944,12.57321,LW-Laghi e invasi
UD,Ampezzo,10/10/2011 12:00:00 AM,Fosfati,0.015,46.41852,12.80086,RW-Corsi dacqua
GO,Villesse,11/03/2014 12:00:00 AM,Fosfati,0.0398,45.86493,13.46203,RW-Corsi dacqua
PN,Brugnera,07/13/2009 12:00:00 AM,pH,8.7,45.87816,12.55166,RW-Corsi dacqua
UD,Cividale del Friuli,05/20/2014 12:00:00 AM,Conducibilità elettrica a 20°C,447,46.04803,13.44618,RW-Corsi dacqua
UD,San Giovanni al Natisone,12/21/2011 12:00:00 AM,Temperatura acqua,3,45.97011,13.43848,RW-Corsi dacqua
UD,Attimis,08/31/2017 12:00:00 AM,Conducibilità elettrica a 20°C,281,46.17598,13.29652,RW-Corsi dacqua
UD,Varmo,06/25/2013 12:00:00 AM,pH,7.9,45.86671,12.98249,RW-Corsi dacqua
PN,San Martino al Tagliamento,06/30/2015 12:00:00 AM,Temperatura acqua,20.3,46.02061,12.87399,RW-Corsi dacqua
UD,Amaro,01/16/2012 12:00:00 AM,pH,8.1,46.37348,13.05836,RW-Corsi dacqua
PN,San Vito al Tagliamento,05/04/2010 12:00:00 AM,Fosfati,0.18,45.90297,12.84996,RW-Corsi dacqua
UD,Resia,08/25/2011 12:00:00 AM,Temperatura acqua,7.4,46.35889,13.29635,RW-Corsi dacqua
UD,Pocenia,07/26/2017 12:00:00 AM,pH,7.9,45.87833,13.11676,RW-Corsi dacqua
UD,Mortegliano,03/03/2014 12:00:00 AM,Temperatura acqua,13.8,45.92747,13.16565,RW-Corsi dacqua
GO,Gradisca d'Isonzo,04/15/2010 12:00:00 AM,Temperatura acqua,10,45.88164,13.49833,RW-Corsi dacqua
PN,Sacile,10/14/2010 12:00:00 AM,Conducibilità elettrica a 20°C,301,45.92754,12.51482,RW-Corsi dacqua
UD,Tavagnacco,03/04/2014 12:00:00 AM,pH,8.1,46.127,13.22557,RW-Corsi dacqua
PN,Prata di Pordenone,07/11/2011 12:00:00 AM,Conducibilità elettrica a 20°C,385,45.87325,12.60716,RW-Corsi dacqua
PN,Polcenigo,08/21/2013 12:00:00 AM,pH,7.9,46.01217,12.4888,RW-Corsi dacqua
UD,San Daniele del Friuli,01/09/2007 12:00:00 AM,Conducibilità elettrica a 20°C,535,46.2099,13.02744,RW-Corsi dacqua
TS,Duino-Aurisina,10/05/2009 12:00:00 AM,Temperatura acqua,14.9,45.78741,13.59086,RW-Corsi dacqua
UD,Varmo,10/29/2019 12:00:00 AM,Fosfati,0.05,45.90158,13.02885,RW-Corsi dacqua
UD,Tarvisio,08/01/2012 12:00:00 AM,pH,8.3,46.42042,13.56553,LW-Laghi e invasi
PN,Sesto al Reghena,12/01/2015 12:00:00 AM,pH,8.1,45.8403,12.80508,RW-Corsi dacqua
UD,Buja,11/25/2019 12:00:00 AM,pH,8,46.20791,13.0891,RW-Corsi dacqua
PN,Morsano al Tagliamento,03/19/2012 12:00:00 AM,Fosfati,0.2,45.85455,12.95896,RW-Corsi dacqua
PN,Sacile,02/15/2018 12:00:00 AM,pH,8.1,45.92754,12.51482,RW-Corsi dacqua
GO,Gorizia,08/30/2016 12:00:00 AM,Fosfati,0.05,45.97918,13.62092,RW-Corsi dacqua
GO,Medea,09/10/2013 12:00:00 AM,Fosfati,0.0460,45.92066,13.45524,RW-Corsi dacqua
UD,Tarvisio,09/20/2018 12:00:00 AM,Fosfati,0.05,46.4923,13.67174,RW-Corsi dacqua
UD,Palazzolo dello Stella,02/23/2011 12:00:00 AM,Fosfati,0.100,45.80677,13.11068,RW-Corsi dacqua
UD,Nimis,02/18/2010 12:00:00 AM,Temperatura acqua,7.6,46.19579,13.27264,RW-Corsi dacqua
UD,Carlino,07/14/2010 12:00:00 AM,Fosfati,0.067,45.80499,13.19179,RW-Corsi dacqua
UD,Pontebba,09/07/2017 12:00:00 AM,pH,8.3,46.50523,13.36626,RW-Corsi dacqua
UD,Codroipo,09/26/2017 12:00:00 AM,pH,8.4,45.95625,12.98044,RW-Corsi dacqua
UD,Cavazzo Carnico,03/07/2019 12:00:00 AM,pH,8,46.37348,13.05836,RW-Corsi dacqua
UD,Pulfero,06/18/2019 12:00:00 AM,Fosfati,0.05,46.20189,13.46946,RW-Corsi dacqua
UD,Ovaro,02/10/2010 12:00:00 AM,pH,7.9,46.49891,12.86351,RW-Corsi dacqua
UD,Castions di Strada,11/30/2009 12:00:00 AM,Fosfati,0.015,45.87825,13.19004,RW-Corsi dacqua
UD,Ampezzo,06/27/2012 12:00:00 AM,pH,8.3,46.4334,12.72416,RW-Corsi dacqua
PN,Sesto al Reghena,02/21/2013 12:00:00 AM,Temperatura acqua,11.3,45.85519,12.8496,RW-Corsi dacqua
PN,Sesto al Reghena,12/14/2011 12:00:00 AM,Conducibilità elettrica a 20°C,497,45.84996,12.86262,RW-Corsi dacqua
GO,Gorizia,09/16/2020 12:00:00 AM,pH,8.3,45.90601,13.55882,RW-Corsi dacqua
UD,Forni di Sopra,03/11/2013 12:00:00 AM,pH,8.2,46.42353,12.581,RW-Corsi dacqua
UD,Faedis,08/19/2009 12:00:00 AM,pH,8.3,46.15807,13.35563,RW-Corsi dacqua
UD,Moggio Udinese,10/16/2014 12:00:00 AM,pH,8.3,46.40083,13.21304,RW-Corsi dacqua
PN,Cordenons,01/19/2011 12:00:00 AM,Fosfati,0.2,45.98794,12.75907,RW-Corsi dacqua
UD,Bertiolo,07/10/2012 12:00:00 AM,pH,7.8,45.90231,13.05159,RW-Corsi dacqua
PN,Brugnera,09/26/2011 12:00:00 AM,Fosfati,0.2,45.87816,12.55166,RW-Corsi dacqua
PN,Valvasone Arzene,08/07/2013 12:00:00 AM,Conducibilità elettrica a 20°C,231,45.98844,12.85059,RW-Corsi dacqua
UD,Tarvisio,09/10/2012 12:00:00 AM,Temperatura acqua,12.3,46.49705,13.63625,RW-Corsi dacqua
UD,Moggio Udinese,09/19/2012 12:00:00 AM,pH,8.3,46.40636,13.19897,RW-Corsi dacqua
TS,San Dorligo della Valle - Dolina,01/04/2011 12:00:00 AM,pH,8.5,45.60726,13.82014,RW-Corsi dacqua
UD,Cavazzo Carnico,07/15/2014 12:00:00 AM,Fosfati,0.05,46.36712,13.03961,RW-Corsi dacqua
UD,San Giovanni al Natisone,04/15/2010 12:00:00 AM,Conducibilità elettrica a 20°C,361,45.97011,13.43848,RW-Corsi dacqua
UD,Villa Santina,10/20/2010 12:00:00 AM,Fosfati,6.7,46.41337,12.9634,RW-Corsi dacqua
UD,Pulfero,05/04/2015 12:00:00 AM,Temperatura acqua,12.5,46.20189,13.46946,RW-Corsi dacqua
UD,Forni Avoltri,02/14/2018 12:00:00 AM,pH,8.2,46.57999,12.78679,RW-Corsi dacqua
UD,Carlino,12/13/2006 12:00:00 AM,Conducibilità elettrica a 20°C,476,45.80499,13.19179,RW-Corsi dacqua
PN,Claut,08/03/2009 12:00:00 AM,Temperatura acqua,13.4,46.25187,12.46372,RW-Corsi dacqua
UD,Terzo d'Aquileia,12/27/2016 12:00:00 AM,pH,7.8,45.79757,13.3517,RW-Corsi dacqua
PN,Montereale Valcellina,08/09/2012 12:00:00 AM,Conducibilità elettrica a 20°C,222,46.16759,12.65087,LW-Laghi e invasi
PN,Barcis,07/14/2010 12:00:00 AM,Conducibilità elettrica a 20°C,195,46.19556,12.48565,RW-Corsi dacqua
TS,San Dorligo della Valle - Dolina,09/15/2009 12:00:00 AM,pH,8.1,45.61509,13.88149,RW-Corsi dacqua
UD,Pontebba,09/20/2018 12:00:00 AM,pH,8.3,46.51494,13.28872,RW-Corsi dacqua
UD,Ovaro,05/03/2012 12:00:00 AM,Temperatura acqua,10.5,46.47407,12.85088,RW-Corsi dacqua
UD,Tarvisio,09/30/2013 12:00:00 AM,Conducibilità elettrica a 20°C,324,46.52571,13.62897,RW-Corsi dacqua
GO,Villesse,11/03/2014 12:00:00 AM,Temperatura acqua,8.9,45.86493,13.46203,RW-Corsi dacqua
UD,Pozzuolo del Friuli,11/26/2015 12:00:00 AM,Fosfati,0.222,45.98878,13.18748,RW-Corsi dacqua
GO,Dolegna del Collio,03/09/2010 12:00:00 AM,Fosfati,0.015,46.02317,13.47338,RW-Corsi dacqua
PN,San Vito al Tagliamento,12/05/2012 12:00:00 AM,pH,8,45.92489,12.88389,RW-Corsi dacqua
TS,San Dorligo della Valle - Dolina,01/04/2011 12:00:00 AM,Conducibilità elettrica a 20°C,405,45.61085,13.8568,RW-Corsi dacqua
PN,Montereale Valcellina,04/23/2013 12:00:00 AM,pH,8.2,46.16759,12.65087,LW-Laghi e invasi
UD,San Giorgio di Nogaro,11/04/2009 12:00:00 AM,pH,7.8,45.8322,13.21547,RW-Corsi dacqua
