Rif Campione;Rt Data Ora Prelievo;Parametro;Unita Misura Descrizione;Segno Valore;Valore An;Revisione;Durata Campionamento Descrizione;codStaz;stazione;Latitude;Longitude
E2020000344;09.01.2020 09:55;CONDUCIBILITA' ELETTRICA;µS/cm;=;749.2;0;Istantaneo;F4.24;Roma - Fiume Arrone 2;42.03827174;12.31263349
E2020000344;09.01.2020 09:55;OSSIGENO DISCIOLTO;mg/L;=;10.73;0;Istantaneo;F4.24;Roma - Fiume Arrone 2;42.03827174;12.31263349
E2020000344;09.01.2020 09:55;pH;pH;=;8.3;0;Istantaneo;F4.24;Roma - Fiume Arrone 2;42.03827174;12.31263349
E2020000344;09.01.2020 09:55;SALINITA';PSU;=;0.4;0;Istantaneo;F4.24;Roma - Fiume Arrone 2;42.03827174;12.31263349
E2020000344;09.01.2020 09:55;TEMPERATURA ACQUA;°C;=;12.5;0;Istantaneo;F4.24;Roma - Fiume Arrone 2;42.03827174;12.31263349
E2020000345;09.01.2020 10:40;CONDUCIBILITA' ELETTRICA;µS/cm;=;715.6;0;Istantaneo;F4.23;Fiumicino - Fiume Arrone 2;41.87661829;12.21519378
E2020000345;09.01.2020 10:40;OSSIGENO DISCIOLTO;mg/L;=;11.53;0;Istantaneo;F4.23;Fiumicino - Fiume Arrone 2;41.87661829;12.21519378
E2020000345;09.01.2020 10:40;pH;pH;=;8.5;0;Istantaneo;F4.23;Fiumicino - Fiume Arrone 2;41.87661829;12.21519378
E2020000345;09.01.2020 10:40;SALINITA';PSU;=;0.3;0;Istantaneo;F4.23;Fiumicino - Fiume Arrone 2;41.87661829;12.21519378
E2020000345;09.01.2020 10:40;TEMPERATURA ACQUA;°C;=;7.3;0;Istantaneo;F4.23;Fiumicino - Fiume Arrone 2;41.87661829;12.21519378
E2020000348;09.01.2020 11:10;CONDUCIBILITA' ELETTRICA;µS/cm;=;1176;0;Istantaneo;F4.31;Fiumicino - Fosso Tre Denari 2;41.91371983;12.20126188
