PROVINCIA;COMUNE;STAZIONE;DATACAMPIONAMENTO;PARAMETRO;VALORE_NUMERICO;GEO_Y;GEO_X
MN;Pegognaga;Pegognaga;21.01.2016;Temperatura acqua;1.6;45.01998168;10.84737192
CR;Crema;Crema;14.12.2016;Temperatura acqua;8.3;45.34548271;9.694962049
MN;Rodigo;Rodigo;05.12.2016;Ossigeno disciolto;10;45.19919384;10.67899451
CR;Spinadesco;Spinadesco;21.01.2016;Ossigeno disciolto;11.31;45.13685148;9.955404374
CR;Cremona;Cremona;14.06.2016;Escherichia coli;37000;45.1591876;10.01389685
MN;Goito;Goito;02.08.2016;Ossigeno disciolto;10.04;45.26100724;10.66372324
BG;Zogno;Zogno;12.07.2016;Conducibilità elettrica a 20°C;;45.80789456;9.681507291
PV;Santa Margherita di Staffora;S. Margherita di Staffora;14.06.2016;Temperatura acqua;15.6;44.76444233;9.240927163
MN;Goito;Goito;05.10.2016;Temperatura acqua;17.6;45.26100724;10.66372324
BS;Gottolengo;Gottolengo;20.07.2016;pH;;45.320246;10.28509046
CR;Cremona;Cremona;11.10.2016;Temperatura acqua;15.3;45.12835471;9.994733459
CR;Crema;Crema;22.11.2016;Ossigeno disciolto;9.19;45.34548271;9.694962049
MN;Canneto sull'Oglio;Canneto sull Oglio;05.10.2016;Ossigeno disciolto;9.5;45.14643932;10.37674141
CO;Cernobbio;Cernobbio;17.11.2016;pH;8.4;45.83498456;9.072982762
CR;Cremona;Cremona;06.12.2016;Conducibilità elettrica a 20°C;648;45.1591876;10.01389685
MI;PADERNO DUGNANO;Paderno Dugnano;29.03.2016;Ossigeno disciolto;12.44;45.53817049;9.182187817
CR;Sesto ed Uniti;Sesto ed Uniti;15.11.2016;Conducibilità elettrica a 20°C;689;45.16279089;9.956893957
MI;Baranzate;Baranzate;24.11.2016;Ossigeno disciolto;9.45;45.53085857;9.103298865
VA;Cassano Magnago;Cassano Magnago;03.02.2016;Escherichia coli;2500;45.67928433;8.806454833
PV;Travacò Siccomario;Travacò  Siccomario;02.03.2016;Conducibilità elettrica a 20°C;250.9;45.15944584;9.190502633
CR;Piadena;Piadena;12.07.2016;Temperatura acqua;26.3;45.12550073;10.39306692
LC;Lecco;Lecco;12.12.2016;Conducibilità elettrica a 20°C;180;45.87556513;9.428864706
MN;BORGO VIRGILIO;Borgo Virgilio;06.07.2016;Conducibilità elettrica a 20°C;653;45.05433676;10.72275192
CR;Isola Dovarese;Isola Dovarese;20.04.2016;pH;6.7;45.17888542;10.30351456
LO;Lodi Vecchio;Lodi Vecchio;22.09.2016;Conducibilità elettrica a 20°C;248;45.30149452;9.410275883
MN;Canneto sull'Oglio;Canneto sullOglio;14.09.2016;Temperatura acqua;21.2;45.17949689;10.31377407
BG;Barzana;Barzana;21.03.2016;Conducibilità elettrica a 20°C;319;45.73721287;9.571775784
MI;San Giuliano Milanese;S. Giuliano Milanese;20.09.2016;Conducibilità elettrica a 20°C;633;45.36542906;9.317839419
VA;Cazzago Brabbia;Cazzago Brabbia;09.06.2016;pH;7.5;45.79802582;8.716571343
BG;Palosco;Palosco;16.02.2016;Ossigeno disciolto;11.3;45.58684179;9.845169363
MI;Abbiategrasso;Abbiategrasso;09.03.2016;Temperatura acqua;9.26;45.36518553;8.860280722
BG;Palosco;Palosco;09.05.2016;Conducibilità elettrica a 20°C;680;45.58284327;9.835674785
BS;Collio;Collio;21.09.2016;Escherichia coli;64.4;45.81827566;10.37032513
SO;Aprica;Aprica;25.05.2016;Conducibilità elettrica a 20°C;51;46.14876857;10.13044675
MB;Carnate;Carnate;03.03.2016;Temperatura acqua;9.69;45.65466367;9.37814319
BS;Vestone;Vestone;07.11.2016;pH;8.13;45.70196251;10.38720124
MI;PERO;Pero;08.06.2016;pH;7.92;45.51574337;9.070994153
SO;Montagna in Valtellina;Montagna Valt.;05.10.2016;pH;8.7;46.16757952;9.90381766
BS;Collio;Collio;07.11.2016;pH;8.39;45.81827566;10.37032513
CR;GABBIONETA BINANUOVA;Gabbioneta Binanuova;10.02.2016;pH;8;45.24028145;10.17445054
LC;Lecco;Lecco;27.07.2016;Ossigeno disciolto;11.1;45.85266511;9.397363338
VA;Golasecca;Golasecca;13.01.2016;Ossigeno disciolto;10;45.70554447;8.654411314
PV;Spessa;Arena Po;11.02.2016;Escherichia coli;;45.10434652;9.347170943
MN;Sermide;Sermide;10.05.2016;Conducibilità elettrica a 20°C;434.6;45.01538052;11.29001297
BG;Palosco;Palosco;19.10.2016;Ossigeno disciolto;8.92;45.58284327;9.835674785
BG;Castro;Castro;27.01.2016;pH;;45.8019241;10.06273134
CO;Castelmarte;Castelmarte;16.02.2016;Conducibilità elettrica a 20°C;480;45.83789175;9.241267995
BG;Bergamo;Bergamo;28.09.2016;Conducibilità elettrica a 20°C;393;45.6798208;9.680719424
CR;Genivolta;Genivolta;18.01.2016;Ossigeno disciolto;11.65;45.33429464;9.851489737
BG;Palazzago;Palazzago;15.06.2016;Conducibilità elettrica a 20°C;316;45.725486;9.5401709
BS;Castel Mella;Azzano Mella - Castelmella;27.06.2016;Conducibilità elettrica a 20°C;595;45.48968673;10.13208199
CR;GABBIONETA BINANUOVA;Gabbioneta;20.06.2016;pH;7.2;45.20836335;10.23071366
MI;Abbiategrasso;Abbiategrasso;29.11.2016;Escherichia coli;275.5;45.36518553;8.860280722
BG;Trescore Balneario;Trescore Balneario;29.09.2016;Conducibilità elettrica a 20°C;570;45.70628523;9.82993221
MB;USMATE VELATE;Lomagna/Usmate;05.04.2016;pH;7.9;45.66239945;9.368567638
MI;Parabiago;Parabiago;22.06.2016;pH;8.25;45.55979595;8.962473633
SO;Ardenno;Ardenno;18.05.2016;pH;8;46.15740322;9.64421008
MI;Trezzo sull'Adda;Trezzo dAdda;15.06.2016;Conducibilità elettrica a 20°C;158;45.60216987;9.529956696
MI;Legnano;Legnano;12.07.2016;pH;7.95;45.58927075;8.920712912
VA;Ferrera di Varese;Ferrera di Varese;05.07.2016;Conducibilità elettrica a 20°C;262;45.93653198;8.776872768
SO;Berbenno di Valtellina;Berbenno;18.05.2016;Ossigeno disciolto;10.6;46.1592963;9.743080004
SO;Chiesa in Valmalenco;Chiesa in Valmalenco;15.11.2016;Temperatura acqua;2.5;46.26898752;9.854065898
PV;Bastida Pancarana;Bastida Pancarana;12.01.2016;pH;6.91;45.10508725;9.115072002
SO;Sondalo;Sondalo;03.02.2016;Conducibilità elettrica a 20°C;368;46.36177327;10.3555013
BS;Limone sul Garda;Limone sul Garda;22.09.2016;Conducibilità elettrica a 20°C;381;45.81207391;10.78732449
LO;Sant'Angelo Lodigiano;Sant.Angelo Lodigiano;16.03.2016;Escherichia coli;8164;45.24315479;9.41462148
BS;Castrezzato;Castrezzato;22.06.2016;pH;8.3;45.50752106;9.968179023
CR;Cicognolo;Cigognolo;06.07.2016;Ossigeno disciolto;7.93;45.16406522;10.20984498
BS;Rezzato;Rezzato;30.11.2016;Ossigeno disciolto;11.4;45.50818246;10.33296381
LO;Crespiatica;Crespiatica;21.09.2016;pH;7.93;45.34170192;9.5621899
CO;Dosso del Liro;Consiglio di Rumo;25.08.2016;Ossigeno disciolto;8.8;46.16975106;9.234483574
BG;San Giovanni Bianco;S. Giovanni Bianco;08.02.2016;Conducibilità elettrica a 20°C;;45.87442684;9.653147796
BS;Sarezzo;Sarezzo;12.09.2016;Temperatura acqua;19;45.64680034;10.20210762
LC;Valmadrera;Valmadrera;08.06.2016;pH;8.5;45.85478938;9.367778511
CO;COMO;Como;14.07.2016;Temperatura acqua;16.6;45.80282546;9.107056137
MN;Sermide;Sermide;12.01.2016;pH;7.88;45.01538052;11.29001297
PV;Bornasco;Pontelungo/Lardirago;17.06.2016;Conducibilità elettrica a 20°C;409.7;45.27445039;9.226293022
MN;Marcaria;Marcaria;12.01.2016;Conducibilità elettrica a 20°C;540.4;45.04117454;10.65100133
VA;Porto Ceresio;Porto  Ceresio;06.04.2016;pH;8.4;45.90609865;8.895231622
LC;Varenna;Perledo;20.06.2016;Ossigeno disciolto;12.5;46.01469797;9.283041999
BG;Brembate di Sopra;Brembate Sopra;14.09.2016;Escherichia coli;1420;45.71022021;9.587687711
MN;Acquanegra sul Chiese;Acquanegra sul Chiese;04.07.2016;Escherichia coli;1046.2;45.14854096;10.49585849
CR;Pizzighettone;Pizzighettone;09.06.2016;Escherichia coli;30000;45.20654984;9.811291315
VA;Cassano Magnago;Cassano Magnago;04.05.2016;Conducibilità elettrica a 20°C;530;45.67928433;8.806454833
PV;Bereguardo;Bereguardo;08.09.2016;pH;8.19;45.23467838;9.007681969
VA;Malnate;Malnate;10.08.2016;Ossigeno disciolto;8.6;45.80717318;8.882287002
CO;Bellagio;Bellagio;16.02.2016;Conducibilità elettrica a 20°C;437;45.97596038;9.248468123
BS;Pralboino;Pralboino;05.10.2016;Temperatura acqua;16.7;45.26839626;10.20946157
SO;Lovero;Lovero;20.09.2016;Ossigeno disciolto;15.6;46.2365307;10.22549934
MN;Moglia;Moglia;19.07.2016;Temperatura acqua;24.84;44.96139934;10.95440339
PV;Golferenzo;Golferenzo;07.06.2016;pH;8.24;44.97054081;9.297669511
PV;Vigevano;Vigevano;20.07.2016;pH;7.49;45.2923226;8.81754532
MI;Parabiago;Parabiago;13.09.2016;pH;8.31;45.55979595;8.962473633
PV;Bornasco;Pontelungo/Lardirago;08.09.2016;Ossigeno disciolto;6.74;45.27445039;9.226293022
BS;Edolo;Edolo;09.06.2016;Ossigeno disciolto;;46.19006093;10.3419504
PV;Pieve Albignola;Pieve Albignola;15.12.2016;Escherichia coli;900;45.08636505;8.970125978
PV;Bornasco;Pontelungo/Lardirago;13.04.2016;pH;7.24;45.27445039;9.226293022
LC;Mandello del Lario;Mandello;08.11.2016;Escherichia coli;2300;45.91461055;9.315178099
BG;Seriate;Seriate;04.07.2016;Conducibilità elettrica a 20°C;;45.67955117;9.724501967
CR;Cappella Cantone;Cappella Cantone;21.03.2016;Ossigeno disciolto;9.9;45.23312622;9.838617725
PV;Mezzanino;Mezzanino;03.03.2016;pH;8.56;45.12766868;9.196498936
