Monitoraggio Qualitativo dei Corpi Idrici Superficiali della Regione Puglia;;;;Temperatura;Conducibilità;Acidità (concentrazione ioni idrogeno);Ossigeno;Ossigeno;Durezza;Alcalinità;Domanda biochimica di ossigeno (BOD5 ) a 20°  senza nitrificazione;Domanda chimica ossigeno (COD);Nutrienti;;;;;Particellato sospeso;Cloruri;Solfati;Batteriologia;Indice;Latitudine;Longitudine
Dati medi Annui 2016 - 2021;;;;Temperatura;Conducibilità;pH;% saturazione O2 ;O2 ;CaCO3 ;Ca(HCO3)2 ;BOD5;COD;N-tot;N-NH4 ;N-NO3 ;P-tot;P-PO4 ;TSS;Cl;SO4;Escherichia coli;LIMeco;;
Descrizione;Corpo Idrico Superficiale;Codice Stazione;Annualità;°C;µsiemens/cm 20°C;Unità;%;mg/l;mg/l;mg/l(meq/l);mg/l;mg/l;µg/l;µg/l;µg/l;µg/l;µg/l;µg/l;mg/l;mg/l;UFC/100 ml;;;
Fiume Saccione;Saccione_12;CA_TS01;2016;16.6;1564;8.4;96.6;10.5;408.5;301.3;5.2;18.1;8750;49;5028;261;101;49917;308;155;9563;0.43;"41°51' 36,2"" N";"15°07'24"" E"
Fiume Saccione;Foce Saccione;CA_TS02;2016;17.7;19043;8.2;104.1;10.4;2448;280.2;5.1;61.6;6908;36;3022;305;mlq;104500;5925;855;1976;0.57;"41°55' 29,337"" N";"15°8' 12,055"" E"
Fiume Fortore;Fortore_12_1;CA_FF01;2016;14.1;822;8.3;106.7;10.5;316.1;260.2;4.3;9.6;3950;19;2063;105;22;29833;72;147;564;0.63;"41°38' 50,057"" N";"15°2' 40,647"" E"
Fiume Fortore;Fortore_12_2;CA_FF02;2016;16.4;1043;8.4;103.4;10.3;328.4;285.5;4.9;22.6;5875;43;3239;169;mlq;50833;101;168;1255;0.54;"41°53' 46,823"" N";"15°15' 50,170"" E"
Torrente Candelaro;Candelaro_12;CA_TC01;2016;15.6;1049;8.3;103.7;10.4;326.3;294.7;4.2;13.3;7258;394;4466;208;113;18667;151;114;2387;0.49;"41°46' 35,017"" N";"15°19' 9,391"" E"
Torrente Candelaro;Candelaro_16;CA_TC02;2016;16.2;1268;8.1;89.7;9.2;392.3;330;11.5;33.8;11225;1416;5030;573;397;45167;192;107;12918;0.34;"41°43' 26,872"" N";"15°27' 53,908"" E"
Torrente Candelaro;Candelaro sorg-confl. Triolo_17;CA_TC03;2016;16.3;1264;8;94.8;9.3;379.5;304.8;6.3;18.8;10667;532;5968;505;326;44167;179;112;7121;0.36;"41°42' 50,777"" N";"15°30' 10,572"" E"
Torrente Candelaro;Candelaro confl. Triolo confl. Salsola_17;CA_TC04;2016;16.2;1555;8.1;96.8;9.5;411.9;312.5;8.5;26.8;13217;1436;5983;665;388;100917;249;143;8518;0.31;"41°37' 34,269"" N";"15°38' 7,124"" E"
Torrente Candelaro;Candelaro confl. Salsola confl. Celone_17;CA_TC05;2016;15.6;1520;8.2;97;9.5;415.8;308.8;10.1;30.2;15492;2457;6911;525;222;60500;243;152;3143;0.33;"41°36' 36,051"" N";"15°40' 4,030"" E"
Torrente Candelaro;Candelaro confl. Celone - foce;CA_TC06;2016;15.6;1351;8.2;97.1;9.6;393.7;289.5;10.3;26.5;16583;2221;8435;409;182;70083;192;151;3470;0.35;"41°35' 58,889"" N";"15°42' 18,255"" E"
Torrente Candelaro;Candelaro-Canale della Contessa;CA_TC07;2016;15.2;1738;7.9;89.4;8.8;464.2;309.3;7.2;28.4;21827;676;13341;1754;1441;49727;272;193;19914;0.28;41°31'47,7'' N;15°49'20,8'' E
Torrente Candelaro;Foce Candelaro;CA_TC08;2016;17.1;1959;8;87.8;8.8;478.8;302.2;9.8;29.7;15425;845;7894;818;498;63417;424;181;3957;0.26;"41°34' 25,277"" N";"15°53' 6,038"" E"
Torrente Triolo;Torrente Triolo;CA_TT01;2016;15.3;1487;8.2;83.7;8.4;394.8;331.7;22;51.4;19633;6153;4405;1351;1001;43167;217;153;51808;0.24;"41°38' 51,084"" N";"15°32' 44,987"" E"
Torrente Sàlsola;Salsola ramo nord;CA_SA01;2016;15.5;1164;8.1;100.6;9.9;346.8;270.8;8.5;17.7;20558;1589;11004;573;320;56917;123;150;4313;0.32;"41°32' 49,497"" N";"15°22' 7,430"" E"
Torrente Sàlsola;Salsola ramo sud;CA_SA02;2016;16.2;1004;8.2;105;10.2;336;268.5;4.7;12;18282;315;11594;292;16610;23818;104;129;1857;0.51;"41°27' 20,137"" N";"15°22' 40,822"" E"
Torrente Sàlsola;Salsola confl. Candelaro;CA_SA03;2016;14.9;1488;8.4;104.1;10.7;421.1;286.7;5.8;13.8;23633;253;14524;369;211;63917;197;180;2911;0.39;"41°36' 20,636"" N";"15°36' 36,453"" E"
Fiume Celone;Fiume Celone_18;CA_CL01;2016;14.6;605;8.3;104.8;10.5;249.3;231;4.3;12.5;3900;19;2329;411;244;30917;46;61;9899;0.63;"41°23' 30,018"" N";"15°19' 11,847"" E"
Fiume Celone;Fiume Celone_16;CA_CL02;2016;15.1;1462;8.4;106;10.9;437.3;268.5;3.7;11.6;18075;17;12121;115;37;41667;244;182;9489;0.61;"41°34' 18,237"" N";"15°36' 47,046"" E"
Torrente Cervaro;Cervaro_18;CA_CE01;2016;15.1;702;8.3;109.4;10.9;279.4;237.7;4.2;19.1;3163;18;1236;132;mlq;95667;44;99;1129;0.72;"41°16' 29,937"" N";"15°22' 0,265"" E"
Torrente Cervaro;Cervaro_16_1;CA_CE02;2016;15;668;8.4;108.1;10.9;268.7;228.2;4.5;25.1;6955;94;3426;276;mlq;677100;50;101;734;0.53;"41°24' 4,094"" N";"15°39' 8,683"" E"
Torrente Cervaro;Cervaro_16_2;CA_CE03;2016;16.6;850;8.2;95.3;9.7;269.3;240.7;7.3;34;9267;951;3441;660;374;290750;89;94;27759;0.36;"41°25' 37,226"" N";"15°40' 4,677"" E"
Torrente Cervaro;Cervaro foce;CA_CE04;2016;17.6;824;8.4;105;10.5;261.3;220.8;5.6;15.7;4617;259;2561;201;121;30167;152;103;757;0.53;"41°31' 17,296"" N";"15°53' 55,899"" E"
Torrente Carapelle;Carapelle_18;CA_CR01;2016;15.6;952;8.4;105.9;10.6;322.4;268.3;4.7;23.2;8625;30;4963;125;53;45083;89;139;3605;0.63;"41°9' 4,858"" N";"15°28' 3,410"" E"
Torrente Carapelle;Carapelle_18_Carapellotto;CA_CR02;2016;16.5;1014;8.3;106.5;10.6;321.8;282.8;3.4;11.3;8384;30;5423;94;mlq;22083;95;146;3398;0.64;"41°13' 31,226"" N";"15°32' 27,011"" E"
Torrente Carapelle;confl. Carapellotto_foce Carapelle;CA_CR03;2016;16.8;936;8.4;109.8;10.6;288;244.5;4.8;23.1;10092;167;5315;365;102;154583;101;146;6231;0.36;"41°23' 51,370"" N";"15°48' 51,210"" E"
Torrente Carapelle;Foce Carapelle;CA_CR04;2016;17.9;17949;8.4;105.1;10.5;2537.8;241.2;4.9;64.8;7200;91;2896;99;42;57167;6860;1050;352;0.58;"41°29' 26,4"" N";"15°55' 14.4"" E"
Fiume Ofanto;Ofanto_18;CA_FO00;2016;16.8;599;8.7;105.9;10;211.5;344.3;3.8;9.6;1101;124;816;71;mlq;97145;28;55;1839;0.72;"41° 5' 35,1"" N";"15° 34' 27,70"" E"
Fiume Ofanto;Ofanto - confl. Locone;CA_FO01;2016;17.8;819;8.4;91.5;8.7;255.9;434.8;9.4;28.3;5506;658;4273;417;113;647077;54;77;10129;0.31;"41° 08'31,010""N";"15° 52' 16,84""E"
Fiume Ofanto;confl. Locone - confl. Foce ofanto;CA_FO02;2016;17.7;958;8.7;95.8;9.3;270.6;464.7;4.8;14.8;6098;94;5605;418;145;72903;72;98;8402;0.39;"41°17' 9,541"" N";"16°6' 1,444"" E"
Fiume Ofanto;Foce Ofanto;CA_FO03;2016;18.1;1669;8.5;95.5;9.2;388.8;466.6;4.2;13.8;6024;71;5707;340;131;62631;372;148;815;0.42;" 41° 20' 26,790""N";" 16° 12' 20,740""E"
Fiume Bradano;Bradano_reg;CA_BR01;2016;15.2;878;8.6;114;11.7;277.4;478.1;5.5;17;8127;308;7160;364;203;9056;54;60;9659;0.38;"40°47' 27,839"" N";"16°25' 7,080"" E"
Torrente Asso;Torrente Asso;CA_AS01;2016;18.2;1073;8.2;106.7;10.1;265.5;624.3;11.4;21.9;7760;414;5513;2037;1592;30775;239;60;2471;0.28;40°11'20,35'' N;18°1'38,58'' E
Fiume Grande;F. Grande;CA_GR01;2016;15.9;5097;8;105.1;10.5;1251.6;418.1;7.6;24.7;5817;138;5127;37;18;36340;1534;658;4361;0.55;"40°37' 29,151"" N";"17°58' 59,854"" E"
Canale Reale;C. Reale;CA_RE01;2016;17.8;1250;7.6;65;6.2;193.3;403.3;4.6;13.3;10711;127;9226;843;683;13583;274;99;944;0.15;"40°42' 10,318"" N";"17°48' 26,422"" E"
Fiume Tara;Tara;CA_TA01;2016;18.6;3517;7.7;64.1;5.6;789.3;467.3;1.5;29.9;6278;135;5018;22;mlq;2008;921;189;181;0.41;"40°30' 59,555"" N";"17°8' 44,032"" E"
Fiume Lenne;Lenne;CA_LN01;2016;17.5;4692;8;89.3;8.3;964.3;487.5;2.3;32.5;9069;101;7231;180;21;4242;1343;299;243;0.31;"40°30' 18,4"" N";"17°00' 52,1"" E"
Fiume Lato;Lato;CA_FL01;2016;17.4;2551;8;74.4;7;640.2;432.9;1.8;23.6;7684;133;6471;86;mlq;8350;497;229;219;0.33;"40°30' 9,366"" N";"16°57' 52,323"" E"
Fiume Galaso;Galaso;CA_GA01;2016;16.5;7653;8;77;7;1028.2;553.1;2.3;56.1;4937;212;2945;312;103;4067;2798;389;144;0.27;"40°24' 54,056"" N";"16°52' 20,289"" E"
Fiume Saccione;Saccione_12;CA_TS01;2017;16.5;1152;8.3;103.1;10.2;565.4;387.1;7.1;29.3;9788;mlq;3928;222;120;15167;307;151;6805;0.50;"41°51' 36,2"" N";"15°07'24"" E"
Fiume Saccione;Foce Saccione;CA_TS02;2017;18.1;18606;8.2;108.3;10.7;2592.3;291.7;3.5;83.5;8800;mlq;10716;99;mlq;74667;6546;959;819;0.60;"41°55' 29,337"" N";"15°8' 12,055"" E"
