"Provincia";"Comune Nome";"Stazione Nome";"Data";"Parametro Nome";"Valore Alfanum";"Sta Gb E";"Sta Gb N"
"FI";"PELAGO";"SIEVE - PRESA ACQUEDOTTO SAN FRANCESCO";"02-APR-24";"TEMPERATURA";"11,9";"1696955";"4850494"
"FI";"FIRENZE";"FIUME ARNO - ANCONELLA";"02-APR-24";"TEMPERATURA";"15,7";"1685474";"4848206"
"FI";"REGGELLO";"TORRENTE  CHIESIMONE";"02-APR-24";"TEMPERATURA";"12,5";"1698852";"4835734"
"GR";"MANCIANO";"FIORA - LOC. EX FRANCESCHELLI - SP. 32 MANCIANO";"25-MAR-24";"TEMPERATURA";"13,2";"1711912";"4713930"
"LI";"COLLESALVETTI";"TORA - PONTE MEDICEO";"22-MAR-24";"TEMPERATURA";"16,2";"1618525";"4827250"
"LI";"ROSIGNANO MARITTIMO";"TORRENTE SAVALANO";"22-MAR-24";"TEMPERATURA";"14,3";"1620054";"4810240"
"LU";"VILLA BASILICA";"PESCIA DI COLLODI - PONTE A VILLA";"21-MAR-24";"TEMPERATURA";"12";"1632420";"4863723"
"PI";"BIENTINA";"CANALE ROGIO - BARACCA DI NANNI";"21-MAR-24";"TEMPERATURA";"16,8";"1629836";"4850269"
"GR";"CASTEL DEL PIANO";"TORRENTE ENTE CASTEL DEL PIANO";"21-MAR-24";"TEMPERATURA";"12";"1706069";"4759760"
"PT";"MONSUMMANO TERME";"NIEVOLE - PONTE DEL PORTO";"20-MAR-24";"TEMPERATURA";"15,2";"1644443";"4856297"
"PT";"MONSUMMANO TERME";"TERZO - RISERVA RIGHETTI";"20-MAR-24";"TEMPERATURA";"15,8";"1644544";"4854790"
"PT";"LARCIANO";"TERZO - CASOTTO DE  MORI";"20-MAR-24";"TEMPERATURA";"16,5";"1646042";"4850440"
"PI";"SANTA MARIA A MONTE";"USCIANA - MASSARELLA";"20-MAR-24";"TEMPERATURA";"15,3";"1645694";"4848214"
"PT";"PONTE BUGGIANESE";"PESCIA DI COLLODI - PONTE SETTEPASSI";"20-MAR-24";"TEMPERATURA";"15";"1641379";"4851913"
"FI";"CASTELFIORENTINO";"TORRENTE PESCIOLA";"19-MAR-24";"TEMPERATURA";"13,6";"1660243";"4828203"
"FI";"CASTELFIORENTINO";"TORRENTE PESCIOLA";"19-MAR-24";"TEMPERATURA";"13,6";"1660243";"4828203"
"AR";"TERRANUOVA BRACCIOLINI";"TORRENTE CIUFFENNA";"19-MAR-24";"TEMPERATURA";"11,8";"1708372";"4824722"
"SI";"SAN GIMIGNANO";"TORRENTE FOCI";"19-MAR-24";"TEMPERATURA";"14,7";"1668762";"4812763"
"PO";"VERNIO";"TORRENTE FIUMENTA";"18-MAR-24";"TEMPERATURA";"11,7";"1672411";"4879265"
"PO";"VERNIO";"BISENZIO MONTE";"18-MAR-24";"TEMPERATURA";"11,2";"1672351";"4878953"
"AR";"LATERINA PERGINE VALDARNO";"TORRENTE TROVE";"18-MAR-24";"TEMPERATURA";"10,7";"1715969";"4811100"
"AR";"CASTIGLION FIORENTINO";"TORRENTE ESSE LOC. PONTI DI BROLIO";"18-MAR-24";"TEMPERATURA";"12,1";"1729846";"4791059"
"FI";"SAN CASCIANO IN VAL DI PESA";"LAGO FABBRICA 1";"18-MAR-24";"TEMPERATURA";"13,5";"1680041";"4828106"
"FI";"SAN CASCIANO IN VAL DI PESA";"LAGO FABBRICA 1";"18-MAR-24";"TEMPERATURA";"13,5";"1680041";"4828106"
"FI";"BARBERINO TAVARNELLE";"LAGO CHIOSTRINI";"18-MAR-24";"TEMPERATURA";"13,7";"1676919";"4826140"
"FI";"BARBERINO TAVARNELLE";"LAGO CHIOSTRINI";"18-MAR-24";"TEMPERATURA";"13,7";"1676919";"4826140"
"FI";"BARBERINO TAVARNELLE";"LAGO BARBERINO DIGA MIGLIORINI";"18-MAR-24";"TEMPERATURA";"13,5";"1676336";"4824077"
"FI";"BARBERINO TAVARNELLE";"PESA - PRESA SAMBUCA";"18-MAR-24";"TEMPERATURA";"12";"1679719";"4825925"
"PT";"QUARRATA";"OMBRONE - PONTE DELLA CASERANA";"18-MAR-24";"TEMPERATURA";"12,7";"1662251";"4858643"
"PT";"QUARRATA";"DOGAIA DEI QUADRELLI PONTE AL FOSSO";"18-MAR-24";"TEMPERATURA";"12,8";"1662627";"4856704"
"PT";"QUARRATA";"STELLA PONTE CATENA";"18-MAR-24";"TEMPERATURA";"13,1";"1662143";"4856367"
"PO";"CARMIGNANO";"TORRENTE OMBRONE POGGIO A CAIANO";"18-MAR-24";"TEMPERATURA";"14,2";"1666168";"4849195"
"PO";"CARMIGNANO";"TORRENTE OMBRONE POGGIO A CAIANO";"18-MAR-24";"TEMPERATURA";"14,2";"1666168";"4849195"
"LU";"MASSAROSA";"MASSACIUCCOLI - CENTRO LAGO";"18-MAR-24";"TEMPERATURA";"14";"1607018";"4854251"
"LU";"MASSAROSA";"MASSACIUCCOLI - CENTRO LAGO";"18-MAR-24";"TEMPERATURA";"14";"1607018";"4854251"
"LU";"MASSAROSA";"MASSACIUCCOLI - CENTRO LAGO";"18-MAR-24";"TEMPERATURA";"14";"1607018";"4854251"
"LU";"MASSAROSA";"MASSACIUCCOLI - CENTRO LAGO";"18-MAR-24";"TEMPERATURA";"14,1";"1607018";"4854251"
"LU";"MASSAROSA";"MASSACIUCCOLI - CENTRO LAGO";"18-MAR-24";"TEMPERATURA";"14,2";"1607018";"4854251"
"AR";"CAVRIGLIA";"LAGO ORMA DEL DIAVOLO CAMMENATA";"13-MAR-24";"TEMPERATURA";"9,9";"1700851";"4820231"
"AR";"CAVRIGLIA";"LE SCAGLIE";"13-MAR-24";"TEMPERATURA";"9,5";"1699396";"4820091"
"PT";"QUARRATA";"BACINO DUE FORRE";"12-MAR-24";"TEMPERATURA";"13";"1655449";"4857390"
"PT";"QUARRATA";"BACINO FALCHERETO";"12-MAR-24";"TEMPERATURA";"13,5";"1657270";"4856700"
"PT";"PISTOIA";"TORRENTE BRANA";"12-MAR-24";"TEMPERATURA";"14,4";"1658939";"4863673"
"GR";"GAVORRANO";"TORRENTE SOVATA";"12-MAR-24";"TEMPERATURA";"12";"1664417,66";"4752855,11"
